"id","name","station","direction","position","positionX","positionY","speedindicator","signaltype","type","previous","next","stationid"
104,KBS0641,ARI,false,false,1426.0,448.0,true,controlblocksignal,4,"0641BTARI","0611BTARI",3
176,S12,KAR,true,true,1408.0,584.0,false,exitsignal,7,"01STKAR",M05KAR,5
139,BS0832,DEM,true,false,1028.0,460.0,false,blocksignal,3,"0801BTDEM","0831BTDEM",4
30,S32,KAS,true,false,1304.0,460.0,false,exitsignal,7,"03STKAS",M07KAS,1
165,S61,KAR,false,true,573.0,584.0,false,exitsignal,7,"06STKAR",M08KAR,5
161,S02,KAR,true,false,338.0,448.0,true,entrancesignal,6,"0971BTKAR","04MT-oKAR",5
4,BS0053,KAS,false,true,102.0,584.0,false,blocksignal,3,"0052BTKAS","0022BTKAS",1
121,BS0761,DEM,false,false,58.0,460.0,false,blocksignal,3,"0761BTDEM","0731BTDEM",4
171,S62,KAR,true,true,923.0,583.0,true,lowsignal,5,"06STKAR",M18KAR,5
42,BS0264,KAS,true,true,1924.0,584.0,false,blocksignal,3,"0232BTKAS","0262BTKAS",1
128,S21,DEM,false,false,480.0,460.0,false,exitsignal,7,"02STDEM",M06DEM,4
41,BS0262,KAS,true,false,1924.0,460.0,false,blocksignal,3,"0231BTKAS","0261BTKAS",1
127,S11,DEM,false,false,477.0,396.0,false,lowsignal,5,"01STDEM",M06DEM,4
150,BS0913,DEM,false,true,1308.0,584.0,false,blocksignal,3,"0912BTKAR","0882BTDEM",4
15,BS0141,KAS,false,false,438.0,460.0,false,blocksignal,3,"0141BTKAS","0111BTKAS",1
168,S31,KAR,false,false,966.0,396.0,false,exitsignal,7,"03STKAR",M14KAR,5
8,BS0083,KAS,false,true,214.0,586.0,false,blocksignal,3,"0082BTKAS","0052BTKAS",1
43,BS0291,KAS,false,false,1978.0,460.0,false,blocksignal,3,"0291BTCUM","0261BTKAS",1
40,BS0263,KAS,false,true,1868.0,584.0,false,blocksignal,3,"0262BTKAS","0232BTKAS",1
39,BS0261,KAS,false,false,1868.0,460.0,false,blocksignal,3,"0261BTKAS","0231BTKAS",1
65,S21,CUM,false,true,789.0,584.0,false,exitsignal,7,"02STCUM",M14CUM,2
51,BS0361,CUM,false,false,170.0,460.0,false,blocksignal,3,"0361BTCUM","0321BTCUM",2
46,BS0294,CUM,true,true,2.0,584.0,false,blocksignal,3,"0262BTKAS","0292BTCUM",2
47,BS0321,CUM,false,false,58.0,460.0,false,blocksignal,3,"0321BTCUM","0291BTCUM",2
53,BS0362,CUM,true,false,226.0,460.0,false,blocksignal,3,"0321BTCUM","0361BTCUM",2
49,BS0322,CUM,true,false,114.0,460.0,false,blocksignal,3,"0291BTCUM","0321BTCUM",2
154,BS0943,KAR,false,true,58.0,584.0,false,blocksignal,3,"0942BTKAR","0912BTKAR",5
153,BS0941,KAR,false,false,58.0,460.0,false,blocksignal,3,"0941BTKAR","0911BTKAR",5
157,BS0971,KAR,false,false,170.0,460.0,false,blocksignal,3,"0971BTKAR","0941BTKAR",5
166,S51,KAR,false,false,899.0,266.0,false,lowsignal,5,"05STKAR",M12KAR,5
45,BS0292,CUM,true,false,2.0,460.0,false,blocksignal,3,"0261BTKAS","0291BTCUM",2
106,BS0642,ARI,true,false,1482.0,460.0,false,blocksignal,3,"0611BTARI","0641BTARI",3
155,BS0942,KAR,true,false,114.0,460.0,false,blocksignal,3,"0911BTKAR","0941BTKAR",5
